v1,v2,,,
spam,"From: ""Benson Phillips"" >wbcincorpration@rediffmail.com>
To: <emailaddress>
Sent: Saturday, 05 February, 2005 19:49
Subject: Attn:Firstname Lastname

Your Ref:2810/04/TF-WBC

First I must thank you for picking up the consideration to be our agent via our costumers who are already and able to pay some of our outstanding bills.

Surprise to say that your role in this endeavour is to serve as our agent to get to our customers who has been indebted to us over a considerable lenght of time and help stand as an agent through which they will make such payments to us.

Your reward for helping us collect such an outstanding debt will be 5% of whatever money that is being paid to our Company through your Account. 

You will be given adequate coordinates and banking instructions through which you will remit our balance 95% from your Account to us.

Please be advised that we will have to begin the necessary process of approving you as our
agent/partner on our receipt of your understanding, transparency, honesty and your sincere
abilities.

The main reason why we are sourcing for your help as our Agent is because we are currently having tax problems with the government and as a result all our Company Accounts worldwide are under strict watch and scrutiny, based on an unecessarily high progressive taxation rate which is politically motivated by masterminds in the government which our Company has fallen out of favour with.

On our receipt of your understanding/mail we will need some vital information from you that will enable us legitimise the process of this transaction, by drafting a Power of Appointment creating an Agency for the relationship of a Principal and Agent, also stating your benefits by way of Fiduciary gains or commission for your Fiduciary services.

Please send down the needed information;
Company name as a legal entity or your personal name acting in your personal capacity in the eyes of the law.

Contact Address, email address and tel/fax numbers.
Age, occupation and position in the Company (if you belong to a company).
A valid mode of Identification (e.g Drivers License, passport etc.) 
to this email id.

We will inform you on the next step to follow as regards our approval for you to be our representative, upon getting the above information from you and will also forward my own
valid form of identification to you.

Note: Endeavour to indicate your reference number as above in all of your correspondence with us. I await your immediate response and a customer will soon make payment through you to us.

Thanks in advance.
Mr.Benson Phillips
President/CEO, WBC Inc",,,
spam,"From: ""brad"" <bradott1@ny.com>
Sent: Monday, 11 July, 2005 17:26
Subject: QUEST FOR COMPANY AGENT.

CHROMEINVESTMENT IMPORT & EXPORT COMPANY LIMITED.

Dear Sir/Madam,
We  deal on raw materials and export into Europe,America,
as well as Asia. We are also a member of the Asia tradingPost Online. 

We are searching for representatives who can help us
establish a medium of getting to our costumers accross theglobe as well as making payments through you to us.If you are interested in transacting business with us we will be very glad.

Subject to your satisfaction you will be given the
opportunity to negotiate your mode of which we will
pay for your services as our representative in
your country.
Please if you are interested forward to us
your,

Full Name
Contact Address
Cell Number
House Phone

Thanks,
Mr.Brad Elliot
FOR MANAGEMENT.

N:B
Please contact us via
email:onlineselection1@chromeinvestment.com
Fax:+44-7075024590
for more information.
Thank you.",,,
spam,"From: ""Catherine Jennings"" <Catherinejenings@bblfinancial.com>
To: <emailaddress>
Sent: Friday, 03 February, 2006 9:41
Subject: Client Enquiry ref: [BKL011/01960-8]


02-02-06
Sincere Greetings,


My name is Catherine Jennings I work with the Private Banking Division
At Berkeley Bank Limited, London. We are conducting a standard
process investigation in relation to matters involving a client who
shares the same name as yours (Kessler) and also the circumstances
surrounding investments made by this client at our bank.

Our Berkeley Banking client died intestate and nominated no next of
kin to inherit the title over the investments made with our bank.

The essence of this communication with you is to request you provide us
information on three issues:

1-Are you aware of any relative/relation who shares your same name
whose last known contact address was in Brussels ?

2-Are you aware of any investment of considerable value made by such a
person at the Private Banking Division of Berkeley Bank?

3-Can you establish beyond reasonable doubt your eligibility to assume
status of next of kin to the deceased?

It is pertinent that you inform us ASAP whether or not you are familiar
With this individual that we may put an end to this communication with
you and our inquiries surrounding this person.

You must appreciate that we are constrained from providing you with
More detailed information at this point. Please respond to this mail as
soon as possible to afford us the opportunity to close this
investigation.

Thank you for accommodating our enquiry.

Cathy Jennings
For: Thomas Masters:
Director Berkeley Private Clients.",,,
spam,"From: ""charlessono"" <charlessono234@hotmail.com>
Sent: Saturday, 21 May, 2005 17:07
Subject: WAIT TO HERE FROM YOU

FINANCIAL AGENT WANTED IN CANADA

I  AM INVOLVED IN THE MARKETING AND SALES OF AFRICAN 
ART $ GOLD DUST IN ACCRA GHANA.

WE HAVE  BUYERS IN THE US & CANADA WHO WANTED TO MAKE 
PAYMENT   OF VARIOUS SUM  BY DRAFT  & CHECK IN OUR FAVOUR, 
BUT THE PROBLEM IS THAT CANADIAN & US BANK CHECKS/ DRAFT 
ARE NOT ACCEPTED HERE.
I THERE FORE NEED AN AGENT IN CANADA WHO WILL RECEIVED 
PAYMENT IN CHECKS  & DRAFT ON MY BEHALF AND LATER TRANSFER 
THE VALUE TO ME VIA A BANK WIRE TRANSFER .

YOU WILL BE ENTITLED TO 10% OF  THE AMOUNT RECEIVED ON MY 
BEHALF WHICH YOU WILL DEDUCT DIRECTLY AFTER CLEARING THE 
CHECK THROUGH YOUR BANK BEFORE RETURNING THE BALANCE TO 
ME BY BANK WIRE.

THIS PERCENTAGE WILL BE INCREASED TO 20% FOR SUBSEQUENT 
TRANSACTION AFTER THE SUCCESSFUL COMPLETION OF THE FIRST 
TRANSACTION.

PLEASE SEND YOUR PHONE NUMBER &  ACCOUNT NAME FOR THE 
CHECK/DRAFT.
COMPANY ACCOUNT NAME IS PREFARABLE,BUT YOU CAN SEND A 
PERSONAL ACCOUNT NAME IF YOU DO  OWN A COMPANY ACCOUNT.

I LOOK FORWARD TO YOUR REPLY.

YOURS SINCERELY
CHARLES SONO .


___________________________________________________________________________
http://www.fuck-usa.de",,,
spam,"From: ""CHEN CHUN-HWA"" <cch3@quickreach.org>
To: <cch3@quickreach.org>
Sent: Wednesday, December 01, 2004 18:55
Subject: RE:PARTNESRSHIP

Dear Sir,

I am Mr. Chen Chun-Hwa, the bill and exchange manager of a bank in
HongKong and I am contacting you on a business transfer of a huge sum of
money from a deceased account. Though I know that a transaction of this
magnitude will make any one apprehensive and worried, but I am assuring you
that all will be well at the end of the day. We decided to contact you due
to the urgency of this transaction.

PROPOSITION;

I discovered an abandoned sum of US$10,500,000.00 (Ten million five hundred
thousand united states dollars) in an account that belongs to one of our
foreign customers who died along with his entire family. Since his death,
none of his next-of-kin or relations has come forward to lay claims for this
money as the heir. We cannot release the fund from his account unless
someone applies for claim as the next-of-kin to the deceased as indicated in
our banking guidelines. Upon this discovery, I now seek your permission to
have you stand as a next of kin to the deceased as all documentations will
be carefully worked out by us for the funds (US$10,500,000.00) to be 
released
in your favour as the beneficiary's next of kin. It may interest you to know
that we have secured from the probate an order of mandamus to locate any of
deceased beneficiaries.

Please acknowledge receipt of this message in acceptance of our mutual
business endeavour by furnishing me with the following;

1. Beneficiary name and address

2. Direct Telephone and fax numbers

These requirements will enable us file letter of claim to the appropriate
departments for necessary approvals in your favour before the transfer can
be made. I shall be compensating you with a One  million five hundred 
thaousand
dollars on final conclusion of this project, while the rest shall be for us 
for
investment purposes in your country that you will propose to us.

If this proposal is acceptable by you, do take advantage of this 
opportunity.

Please reply as soon as possible.

Regards,

Mr.Chen Chun-Hwa.",,,
spam,"From: ""cheung Pui"" <cheung005@thgmail.net>
Sent: Friday, 17 December, 2004 22:27
Subject: Appeal


FROM:MR. CHEUNG PUI
Hang Seng Bank Ltd
Sai Wan Ho Branch 
171 Shaukiwan Road
Hong Kong.


Let me start by introducing myself. I am Mr. Cheung Pui director of operations of the Hang Seng Bank Ltd,Sai Wan Ho Branch.I have a obscured business suggestion for you.

Before the U.S and Iraqi war our client Major Fadi Basem who was with the Iraqi forces and also business man made a numbered fixed deposit for 18 calendar months, with a value of Twenty Four millions Five Hundred Thousand United State Dollars only in my branch. Upon maturity several notice was sent to him,even during the war. Again after the war another notification was sent and still no response came from him. We later find out that the Major and his family had been killed during the war in bomb blast that hit their home.

After further investigation it was also discovered that Major Fadi Basem did not declare any next of kin in his official papers including the paper work of his ba! nk deposit. And he also confided in me the last time he was at my office that no one except me knew of his deposit in my bank. So, Twenty Four millions Five Hundred Thousand United State Dollars is still lying in my bank and no one will ever come forward to claim
it. What bothers me most is that according to the to the laws of my country at the expiration 4 years the funds will revert to the ownership of the Hong Kong Government if nobody applies to claim the funds. 

Against this backdrop, my suggestion to you is that I will like you as a foreigner to stand as the next of kin to Major Fadi Basem so that you will be able to receive his funds. 

WHAT IS TO BE DONE:

I want you to know that I have had everything planned out so that we shall come out successful. I have contacted an attorney that will prepare the necessary document that will back you up as the next of kin to Major Fadi Basem , all that is required from you at this stage is for you to provide me! with your Full
Names and Address so that the attorney can commence his job. After you have been made the next of kin, the attorney will also fill in for claims on your behalf and secure the necessary approval and letter of probate in your favor for the move of the
funds to an account that will be provided by you.

There is no risk involved at all in the matter as we are going adopt a legalized method and the attorney will prepare all the necessary documents. Please endeavor to observe utmost discretion in all matters concerning this issue. 

Once the funds have been transferred to your nominated bank account we shall share in the ratio of 80% for me, 20% for you . Should you be interested please send me your full names and current residential address and I will prefers you to reach me on the email address below (pui001@investment-world.net ) 


and finally after that I shall provide you with more details ! of this operation.

Your earliest response to this letter will be
appreciated.

Kind Regards
Mr. Cheung Pui",,,
spam,"From: ""CHINA-IMPORT-EXPORT"" <chinaimportandexport@lycos.co.uk>
Sent: Sunday, 05 June, 2005 16:04
Subject: REPRESENTATIVE REQUIRED

38, YINGZE AVENUE,
YINGZE,TAIYUAN,
SHANXI. CHINA.

CHINA METALLURGICAL IMPORT & EXPORT CORPORATION

Dear Sir/madam

  Compliments of the season. it is a pleasure to write to 
you in respect of our company china Metallurgical Import and 
Export we are expertise in the sale of raw materials, we 
export into the Canada,America,parts Europe, We are searching 
for representatives who can help us establish a medium of 
getting our funds from our Customers in the Canada,America,
Europe as well as making payments through you to us. Please 
if interested in  transacting business in view helpings us,so 
our clients could make payment to you being a representative 
to us We will be very glad and adequate compensations will be 
given and other benefits as follows, Please  contact us for 
more information.

Subject to your satisfaction you will be given the opportunity 
to negotiate your mode of which we will pay for your services 
as our representative in canada,america,europe. if interested 
forward to us your phone number,fax and your full contact 
addresses. I look forward to your Prompt response to this 
proposal.

Regards,
[CEO]Mr Chang Lee
NB:Kindly reply us via  my email Address: 
""chinaimportandexport@lycos.co.uk ""  
As I will be the one incharge of this ""fair Request",,,
spam,"From: ""Chris Mzama Ceo"" <ceo_intltrade@eresmas.com>
To: <emailaddress>
Sent: Sunday, 05 June, 2005 23:37
Subject: Employment Avaible


 
Introduction;
 
South Export International Trade offers two ways of 
resourcing-search and selection and the secondment of 
specialist to projects and organization in the Oil and 
Gas sector.
 
We have track records of successfully completing search 
and selection assignments for middle and senior management 
appointments in the Oil and Gas sector. In addition we 
projects overseas and organizations/field locations.
 
We specialize in resourcing for following groups within 
the Oil, Gas and Energy related sectors; Exploration and 
Production organizations, Upstream and production 
Consultancies, Engineering, Design and Construction 
Contracts/organizations.
 
South Export International Trade as a consultant to most 
oil Corporations and its Joint Ventures require the response 
of highly talented professionals whose caliber can be 
demonstrated by academic excellence and professional success.

The required professionals will be assigned to take job 
responsibilities in Business Project Management, Asset 
Management, Commercial Management, Production 
operation/management E.T.C. 

Contract: Shall be fixed term or contract.

Salary: On commission basis 10% of the total collection
Starting date: To be communicated to you upon your 
qualification and selection.

Haven been recommended by our search division, you are to 
forward your detailed resumes/curriculum vitae. We will enter 
into an agreement with names of short listed agents if you 
are considered for the appointment. We are searching for 
representatives who can help us establish a medium of getting 
to our costumers in the Canada/America and Europe as well 
as making payments through you to us. Please if you are 
interested in business offer with us we will be glad.

You shall be contacted for more information and service 
engagement upon the receipt of your response.
 
Regards,
Chris Mzama
Personal Mgr.
South Export Int. Trade
Barton House, Cape Town,
South Africa.
intlexport@aol.com
http://www.exportinternationaltrade.com",,,
spam,"From: ""Christopher Harkins"" <info@harkinsinternational.net>
Sent: Wednesday, 03 August, 2005 10:28
Subject: OFFICE MAIL !!!

Dear Sir/Madam,
  We the management,members and staff of legendbiz limited will be very glad 
if you can represent us in your country and earn 10% of every payment made 
through you to us.

For more information,
Please contact :
MR CHRISTOPHER HARKINS.
CEO:LEGENDBIZ LIMITED.
Thanks and have a great day!

LEGENDBIZ LIMITED.
23 LEGEND HOUSE, COLLING WOOD ROAD SUTTON SURREY,
PO. BOX: 9005 LONDON
TELEFAX: +447031947253",,,
spam,"From: ""cmiec"" <cmiec01@yahoo.com.hk>
Sent: Tuesday, 11 January, 2005 13:02
Subject: REPRESENT OUR COMPANY, WE GUARANTEE YOU GREAT PROFITS.

CHINA METALLURGICAL IMPORT AND EXPORT COMPANY
Dear Sir/Madam,
We are a import and export company searching for representatives in 
Canada, America and Europe who can help us establish a medium of getting 
to our custumers from Canada, America and Europe, as well as  making 
payments through you to us.
If you are interested in transacting business with us,contact us for 
more information through:
Email: xiaolin@cmiecs.com 
CHINA METALLURGICAL IMPORT AND EXPORT COMPANY(CMIEC).
COMPANY ADDRESS: 338, YINGZE AVENUE, YINGZE,TAIYUAN, SHANXI, CHINA.
TEL: 0351406202
FAX: 0351404324
 
Subject to your satisfaction you will be given the opportunity to negotiate 
your mode of which we will pay for your services as our representative in 
Canada,America and Europe.
Thanks,
Mr.Yang Xiaolin.
General Manager.",,,
spam,"From: ""cole smith"" <colesmith_002@yahoo.com>
To: <emailaddress>
Sent: Sunday, 31 July, 2005 6:18
Subject: the info


emailaddress,
i have been told  that  you have just received the check been sent to you by mine client through a qchex company   but please there is a mistake that occour for now which i want to explain to you now  the check that was send to you has an excess funds on it  which is meant for the magazine company(videographer) in holland for the coverage of the party for their celebrity magazine As i told you earlier on .  also  the funds is meant for the preparation to come for the coverage of the party And to feature the events of the party in their celebrity magazine  and also they would be able to booked me down   and send the receipt to me as soon as possible. And the check  of $7000 was send to you cos mine client made a mistake of sending both your fee for your service together with the fees for the videographer 
please i will be very glad if you can help me sort out the situation by helping  me this way by deducting the charges for your show   from which you will deduct it from the check you have  receive for your services, when you receive the check you are  to send the remaining ones to the MANAGER FOR THE MAGAZINE COMPANY IN HOLLAND . which they have given me their WESTERN UNION INFORMATION TO TRANSFFERRED THE FUNDS TO THEM .But right now i have been told by the manager that he would be travelling out of the country for an assignment  for their company and  he would not be able to receive the funds so he asked me to send the funds to his personal assistant in one of this african country which he is currently running out the project for their company   Please i am very sorry for the mistake been made and for this inconvinences been made .So deduct the funds for your charges and help me send the remaining ones to the magazine company  because they have given me a call to pay for their servicess so this will enable them to start preparaing towards  the party.
this is the western union money transffer to the personal assistant to the manager for the magazine company in the african country he is now as below:
  
                                MR EDUN ADETAYO
                                50 BAPTIST CHURCH ROAD,
                                ITOKU, 
                                ABEOUKUTA
                                OGUN STATE 23439
                                NIGERIA
 
After the transfer of the funds to them please furnish me back with this western union details back to me soon please deduct western union charges  from the funds you will be sending back to MR EDUN ADETAYO and let me have the details as below:
SENDERS NAME AND ADDRESS
RECEIVERS NAME AND ADDRESS
AMOUNT SENT  TO  MR EDUN ADETAYO
MTCN CONTROL NUMBER     (MONEY TRANSFER CONTROL NUMBER)
TEST QUESTION AND ANSWER?     QUESTION IS COLOUR      ANSWER IS  RED
I will be very happy if the transfered can be made as soon as possible
please i will be grateful if this is been taking care of by you.
please give me a call as oon as possible.
waiting to hear from you .
thanks",,,
spam,"From: ""CONVENANTWEALTH WEST AFRICA"" <con@keromail.com>
To: ""Firstname Lastname"" <emailaddress>
Sent: Friday, 27 May, 2005 22:58
Subject: Re: FW: Re: mk-marketing corp

Jesus Christ of Nazarret :

This is a shocking news.

We sent all the informations to all the parties that have 
signed doccuments relating to this contract and we got an 
information from Mr.Mike Wiliams that there were Nigerians 
that came into this Country and were using Big Companies 
name that are reachly existing in collecting money from 
Foreigner which I have no Idea about.

I was taken to the National Police station where I saw some 
of those boys behind the Barrs .

Well, I have forwarded all your Contact Information to 
Mr. Mike Wiliams of MK-MARKETING CORP. He may contact you 
directly because I my self I dont know what else to say 
rathert than what I am seeing everyday that MK-MARKETING CORP 
is a genuine Company where I have gone to their office 
uncoutably.

In all this, I will issue you an invitation letter for you 
to come down here and sign this contract face to face so 
that you see to your selfe.

Are you ready ?",,,
spam,"From: ""coordinator"" <kleinmlotnbnwdawolpwn@tiscali.it>To: ""winner"" <emailaddress>Sent: Thursday, 24 February, 2005 0:05Subject: You wonFROM: THE DIRECTOREUROPEAN PRIZE AWARD DEPT.REF:EL3/9318/04BATCH:8/163/EL.Attn: Dear Sir/Madam,We are pleased to inform you of the result of the Lottery WinnersInternational programs held on the 30/8/2004.Your e-mail address attached to ticket number: EL-23133 with serialNumber: EL-123542, batch number: 8/163/EL-35, lottery Ref number: EL-9318and drew lucky numbers 7-1-8-36-4-22 which consequently won in the 1stcategory, you have therefore been approved for a lump sum pay out ofUS$1,500,000.00 (One Million, Five Hundred Thousand United States dollars)CONGRATULATIONS!!!Due to mix up of some numbers and names, we ask that you keep your Winninginformation confidential until your claims has been Processed and your moneyRemitted to you. This is part of our Security protocol to avoid doubleclaiming and unwarranted abuse of This program by some participants. Allparticipants were selected through a computer ballot system drawn from over 40,000 company and 20,000,000 individual email addresses andnames from all over the world.This promotional program takes place every year. This lottery was Promotedand sponsored by a group of successful electronic dealers. we hope with partof your winning, you will take part in our next year US$20 millioninternational lottery. To file for your claim, please Contact our payingofficer: Contact Person: Mr. Eric Van Brood(Lottery Director) Mr. Eric Van BroodTel: +31-617-624-035Email: ericvanbr@netscape.netRemember, all winning must be claimed not later than 4th of March,2005.After this date all unclaimed funds will be included in the next stake.Please note in order to avoid unnecessary delays and complications Pleaseremember to quote your reference number and batch numbers in allcorrespondence.Furthermore, should there be any change of address do inform our agent assoon as possible.Congratulations once more from our members of staff and thank you for beingpart of our promotional program.Note:Anybody under the age of 18 is automatically disqualified.yours Sincerely,Eric van BroodTel: +31-617-624-035",,,
spam,"From: ""dan martins"" <dan_martins@live.co.uk>
To: ""Margaret Hurley"" <phurley0416@yahoo.com>
Sent: Friday, November 23, 2007 00:32
Subject: RE: care



Hello
Thanks for your respond and I have 2 kids Their names are Benjamin and Mark and ages 4-2 years old, i want you take care of them and take good care of them till probably when i come to pick them up,and i want you to be a mother to them because their mother is dead. All i need from you is trust and honesty because i will not be with them with the kids and the kids will be with you due to my work status,and for the fact that i travel a lot,My kids like playing video games,going to cinemas and shopping, Our family is a little hectic at times but fun loving and energetic.and i will instruct my secretary to issue the payment to you, it will be  inform of Cashier""s check Or Postal Money Order's ..
Please as soon as you receive it ,i will love you to take it to your bank and deposit it in your bank till it clears ..
After    the funds most have been cleared in your account , you will remove the Total balance of your own money  out of it and you will send the remaining money back to my Travel Agent here in ....(London) ..
So that they will process my kids Air flight ticket for me and i will bring them to  you immediatly....
If you have interest please get back to with your full name and contact address to instruct my secretary  to issue the check to you The whole amount i need to pay
Full name
Contact address
Phone number to call  
and the kids will stay a month with you before will come and pick them up and i will like to come weekend to check if there are fine let me know so my secretary can send the payment out today so you can get the payment by Friday and i will send my kids picture to you if you like so you can know them before they come and my own picture too and how much do you want to take per hour let me know the total cost for it
Thanks",,,
spam,"From: ""david jeff"" <davidjeff02@yahoo.com>
To: Firstname Lastname <emailaddress>
Sent: Saturday, 05 March, 2005 10:12
Subject: Re: check for the car

hi Firstname
          thanks for the mail ,i appriciate your effort on these 
transaction .i think by now you would have recieve the payment ,so 
if you have recieve it please mail me back as soo as possible,because 
my shippers are complaining about the payment ,they are waiting for 
the payment.
thanks
david",,,
spam,"From: ""Deleted Import and Export"" <rep_services@deletedimportandexport.com>
Sent: Friday, 22 October, 2004 21:22
Subject: HELLO REP-NEEDED!!!

DELETED IMPORT AND EXPORT COMPANY 
                                                 Mr.Standford:
I represent Deleted import and export company based in the Uk
My company exports cocoa and other goods/services for world trade.
We are looking for representatives in europe and America that can 
help my company in clearing our money ,because most of our customers 
pay with checks and we don,t have an account in your country that will 
clear this money.As our representative you will receive 10% of any money 
you clear for the company, that will be how you will be paid by the 
c! ompany the rest of the money will be paid into an account we will 
provide for you. If you are interested in our offer please send your 
name contact address and telephone number and please contact our 
procurement officer, Standford Walker: Email: w_standford@myway.com 
Phone:(+44)704 0110-836. 

                           .looking forward to hear from you.
                               Very Respectfully,
                               Firstname Lastname, President 
                        DELETED Import and Export company
                       Goods for Import / Export & Freight Fwdg. Svcs.
                                 --------- and ---------------
                     President , COMPANYNAME 
                    Import / Export & Freight Fwdg. Svcs.",,,
spam,"From: ""DENNIS COLE"" <primlott@email.ro>
To: <emailaddress>
Sent: Tuesday, 30 November, 2004 3:04
Subject: AWARD WINNING NOTICE

LOTTERIA PRIMITIVA
'SWEEPSTAKE PROMOTION.
'CALLE/BUSMAN EL-BUENO,
'13728007 MADRID
'FROM: THE DESK OF THE PROMOTIONS MANAGER,
'INTERNATIONAL PROMOTIONS/PRIZE AWARD DEPARTMENT,
'REF: LP/26510460037/02 BATCH: 24/00319/IPD
'AWARD NOTIFICATION FINAL NOTICE.
WE ARE PLEASE TO INFORM YOU OF THE ANNOUNCEMENT OF THEWINNERS OF
'LOTTERY PRIMITIVA SWEEPSTAKES/INTERNATIONAL PROGRAMSHELD ON 15 TH JUNE 2004. YOUR CONTACT IS ATTACHED TO THE TICKET NUMBER004-05117963-198, WITH SERIAL NUMBER 99375 DREW THE LUCKY NUMBERS01-15-37-38-48-49 AND CONSEQUENTLY WON THE LOTTERY IN CATEGORY 1B. YOU HAVEBEEN THEREFORE APPROVED THE SUM OF ?1,500,000.00(ONE MILLION FIVE HUNDREDTHOUSAND EUROS)CREDITED TO THE FILE NUMBER:LP/2656043/ES/104
'THIS IS FROM THE TOTAL PRICE MONEY OF ?31.472.765.00? SHARED AMONG THE TWENTY THREE LOCAL AND INTERNATIONAL WINNERS INALLCATEGORIES. ALL PARTICIPANTS WERE SELECTED THROUGH COMPUTER BALOTTING SYSTEMDRAWN FROM 45,000.00 NAMES FROM AUSTRALIA, NEW ZEALAND, AFRICA, EUROPE,AMERICAAND ASIA AS PART OF OUR INTERNATIONAL PROMOTION PROGRAM WHICH IS? CONDUCTEDEVERY TWO YEARS.
'.. CONGRATULATIONS!!!
'YOUR FUND IS? NOW INSURED TO YOUR CONTACT. DUE TO THECOMPUTER MIX-UP OF SOME NUMBERS AND CONTACTS, WE ASK YOU TO KEEP THIS AWARDSTRICKLY FROM PUBLIC NOTICE UNTILL YOUR CLAIM HAS BEING PROCESSED AND YOURMONEY REMITTED TO YOUR NOMINATED ACCOUNT.THIS IS PART OF OUR SECURITY ADVICE TOAVOID DOUBLE CLAIMING OR UNSCRUPULOUS ACTS BY THE PARTICIPANTS OF THIS PROGRAM.
YOU ARE TO CONTACT THE UNDERSIGNED, OFIICE: winoffice@walla.com SINCE ALL WE HAVE NOW IS? THE WINNING TICKET NUMBER AND YOUR EMAIL ADDRESS WHICH WASATTACHED TO THE WINNING TICKET NUMBER.FOR DUE PROCESSING AND REMITTANCE OF YOURAWARD PRICE, YOU ARE TO REPLY THIS MAIL STATING YOUR NUMBERS. DO NOTE THAT ALLPRICE MUST BE CLAIM NOT LATER THAN 23TH DECEMBER. 2004. AFTER THIS DATE,ALLFUNDS WILL BE RETURNED AS UNCLAIMED TO THE MINISTRY.
'NOTE: IN ORDER TO AVOID UNNECESSARY DELAY AND COMPLICATIONS,PLEASE QOUTE YOUR REFERENCE AND BATCH NUMBERS IN EVERY OF YOUR CORESPONDENCE. FURTHERMORE,SHOULD THERE BE ANY CHANGE OF YOUR ADDRESS DO INFORMTHIS OFFICE AS SOON AS POSSIBLE. CONGRATULATIONS AGAIN FROM ALL OUR STAFF.
SINCERELY
DENNIS COLE
0034-627-128-221 CALL NOW FOR CONFIRMATION.
SEND ALL YOUR REPLY FOR THE CLAIMING OF THIS
AWARD TO THIS OFFICE:  winoffice@walla.com",,,
spam,"From: ""deputy manager"" <goldcoastminerscompany@yahoo.com>
To: <emailaddress>
Sent: Friday, 10 December, 2004 3:01
Subject: MR. HARRISON HAYFORD

DEAR firstname,

THANK YOU FOR YOUR MAIL. WE CAN PROVIDE YOU THE QUAUTITYOF YOUR ORDERS YOU WILL DEMAND.AS YOU SAID WE  ARE GIVEN OUR CUSTOMERS THIS GREAT  OFFER AT VERY GOOD PRICE. I WANT TO TELL YOU THAT YOU WILL NEVER REGRET INVESTINGYOUR MONEY IN BUSINESS WITH US WHICH I CAN PROMISE YOU.

OUR GOODS ARE SHIPPED THROUGH THE COURRIER SO YOU CAN BE ASSURED OF SECURITY AND SAFE DESTINATION OF YOUR ORDERS.

THERE ARE THE OFFER OF OUR PRODUCT AS FOLLOWS:

PRODUCTS: ..................ALLUVAIL GOLD DUST, GOLD BARS, DIAMOND.

QUATITIY:......................150-500KGS ( TO BE SUPPLIED)

QUALITY:.......................22.5+ CARAT 2003-2004

ORGIN:..........................WEST AFRICA.

PRICE............................$7900.00

CONDITION AND PAYMENT: THE BUYER WILL BE REQUIRED TO PAY THE 40% OF THE TOTAL COST OF THE PRODUCT.

THE PRODUCT WILL EITHER HAVE TO BE SHIPPED TO THE BUYER WITH SEVEN (7) WORKING DAYS REPECTIVILY BY CURRIOR.

THE BALANCE OF THE 60% PAYMENT WOULD BE MADE TO AN A/C AFTER 15 DAYS. 

WE ARE HOPING TO HEAR FROM YOU SOON AS SOON AS POSSIBLE FOR THE EXECUTION OF  BUSINESS.

MD.

HARRISON HAYFORD.",,,
spam,"From: ""Desmond Powel"" <desmond@desmondpowel.com>
Date: March 9, 2005 4:49:18 PM EST
Subject: PHOTOGRAPHER NEEDED URGENTLY
Reply-To: powel234@yahoo.com

Hi,
My name is Mr. Desmond Powell .I am planning to have my wedding 
ceremony on April 9, 2005 at Holy Trinity Parish Hall, Marshfield 
Missouri, 515 East Washington Street, Marshfield MO 65706 .
I am looking for a good photographer who will come and do the snap 
shots on the D-day.
I came accross your listing on the net and decided to contact you. 
I want to know your charges for the following required services if 
you are to work for between 6 and 8 Hours on that day.
We will select the best 100 copies of different snaps photos in 
both black and white and coloured and in Two main sizes and dimensions 
which is required for my personal use at home,
1)16"" x 12"" (405 x 305mm) approx. including post and packaging
2)12"" x 10"" (305 x 204mm) approx. including post and packaging
3) I want just one Panoramic images size 18"" x 6.5"" (457mm x165mm) 
30 10x8 prints in album.coloured Snapped in the church and at the 
reception.I want is for me and my wife, Our parents, the officiating 
ministers and our guests.
I will be requiring your service for atleast 6 Hours at both 
occasions (church and at the reception). The church is Holy Trinity 
Catholic Church - Marshfield Missouri 515 East Washington Street, 
Marshfield MO 65706 . If you are out of Missouri, I will pay the 
transportation charges to and from the party venue so I want you to 
indicate in your email if you are out of Missouri and state what it 
will cost you to get transport to Marshfield Missouri so that we both 
can work it out and also the total amount you will receive for the 
whole services at the occasion.
We will have the photographs snapped at the wedding forwarded to the 
Publisher of a Magazine Company in U.S so they could feature it in 
their celebrity journal so due to this, I want the pictures neat and 
nice.
However,I will be making the payment by means of a Check. Let me have 
your full Names, Address, Phone Number, where the Cheque will be mailed 
to for the payment.Moreso, should you be out of state,
the Hotel accomodation will be provided for by me. Waiting to read from 
you soon as regards this.
Thanks and have nice day.
Regards.
Desmond Powell",,,
spam,"From: ""Dr. Ashok Hooli"" <ashokhooli@eresmas.com>
To: <ashokhooli@eresmas.com>
Sent: Sunday, 01 May, 2005 12:04
Subject: COMPANY REPRESENTATIVE NEEDED URGENTLY!

Attention Please,

I am Dr. Ashok Hooli, managing director of Ages National Arts &  
Crafts- Import/Export Coporation in Asia. I am an Indian and I 
presently live in San-Francisco, California, U.S.A. We are a 
group of businessmen who deal on Arts and Crafts,we export into 
the American continent and Europe. We are searching for 
representatives who can help us establish a medium of getting 
to our customers in Canada,the U.S.A and Europe as well as making 
payments through you to us. Please if you are interested in 
transacting business with us in a sincerely way, we would 
appreciate it by giving you percentage in any paymenmts made 
through you by our numerous customers. Please furnish us with 
your full names, telephone/fax numbers and mailing address so 
that we can register you free of charge as one of our 
representatives in your area. Thanks In advance. I will 
send you a scanned copy of my International Passport and 
California ID for assurance of your safety, and also to let 
you know we do not engage in any thing that's against the laws.
For more informations, please reach me on: 
Dr. Ashok Hooli
Email: dr_ashokhooli@yahoo.co.in",,,
